date,graph0,graph1,graph2,graph3,graph4,graph5,graph6,graph7,graph8,graph9,graph10,graph11,graph12,graph13,graph14,graph15
1900,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751,2.739236751
1901,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561,3.172052561
1902,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802,3.545264802
1903,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262,3.85352262
1904,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276,4.093197276
1905,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764,4.265668764
1906,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371,4.37963371
1907,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127,4.449287127
1908,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586,4.487995586
1909,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866,4.506162866
1910,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664,4.51157664
1911,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464,4.510201464
1912,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592,4.503439592
1913,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713,4.476850713
